|__name,|__business_status,|__geometry__location__lat,|__geometry__location__lng,|__geometry__viewport__|,|__place_id,|__vicinity,|__opening_hours__open_now,|__permanently_closed
Buca di Beppo Italian Restaurant,OPERATIONAL,40.7579198,-73.9852157,northeast,ChIJN3JuqFVYwokRXvoa9Q9wmnM,"1540 Broadway, New York",TRUE,
,,,,southwest,,,,
The Perfect Pint,OPERATIONAL,40.7574092,-73.9837409,northeast,ChIJIS8qblVYwokRFcTD6U66DlU,"123 West 45th Street, New York",TRUE,
,,,,southwest,,,,
Johnny Utah's,OPERATIONAL,40.7599981,-73.9781592,northeast,ChIJASpZJPlYwokRhon8fE-Zf04,"25 West 51st Street #6939, New York",TRUE,
,,,,southwest,,,,
McGee's pub.,OPERATIONAL,40.7649588,-73.9828743,northeast,ChIJ92Q_APhYwokR0Ct3Oz-9CAE,"240 West 55th Street, New York",TRUE,
,,,,southwest,,,,
Stout NYC ~ Flagship,OPERATIONAL,40.749966,-73.989866,northeast,ChIJJ91wx65ZwokRnjW2e69Imic,"133 West 33rd Street, New York",FALSE,
,,,,southwest,,,,
Pio Pio 8,OPERATIONAL,40.7605535,-73.9945268,northeast,ChIJvfVwDFJYwokRtWobbwOMEVM,"604 10th Avenue, New York",TRUE,
,,,,southwest,,,,
Fuel Grill,OPERATIONAL,40.752463,-73.986824,northeast,ChIJH65npatZwokRxKc3m5N5lak,"112 West 38th Street, New York",TRUE,
,,,,southwest,,,,
Bobby Van's,OPERATIONAL,40.7611053,-73.9825075,northeast,ChIJR33-vPhYwokRp6MzGzRnS0o,"135 West 50th Street, New York",TRUE,
,,,,southwest,,,,
Le Marais,OPERATIONAL,40.7581079,-73.9842178,northeast,ChIJkeBwmVVYwokReNSgF1CfLoM,"150 West 46th Street, New York",TRUE,
,,,,southwest,,,,
The 40/40 Club,OPERATIONAL,40.7429695,-73.9893858,northeast,ChIJ-8qQJaRZwokROBJmbLfbWDg,"6 West 25th Street, New York",FALSE,
,,,,southwest,,,,
Shake Shack,OPERATIONAL,40.741512,-73.988175,northeast,ChIJz1idlLxYwokRwl1Twi2KrIQ,"E 23rd St and, Madison Avenue, New York",TRUE,
,,,,southwest,,,,
Gramercy Tavern,OPERATIONAL,40.7384555,-73.9885064,northeast,ChIJvSQIgqFZwokRFYQbJdzceSs,"42 East 20th Street, New York",FALSE,
,,,,southwest,,,,
Eleven Madison Park,OPERATIONAL,40.7416519,-73.9872353,northeast,ChIJEWbXz6ZZwokRLKmKrtPfVFY,"11 Madison Avenue, New York",FALSE,
,,,,southwest,,,,
Boqueria,OPERATIONAL,40.7402389,-73.9937667,northeast,ChIJU5lPOaNZwokRcouF_2LqEow,"53 West 19th Street, New York",TRUE,
,,,,southwest,,,,
Beyond Sushi,OPERATIONAL,40.73292,-73.9858841,northeast,ChIJM8a5-J5ZwokRZDE8G2tHuhg,"229 East 14th Street, New York",TRUE,
,,,,southwest,,,,
Scarpetta,OPERATIONAL,40.7445818,-73.9856202,northeast,ChIJt8W7n79ZwokRsyXs3QDbE3o,"88 Madison Avenue, New York",FALSE,
,,,,southwest,,,,
Melt Shop,OPERATIONAL,40.7446778,-73.9908472,northeast,ChIJuakJu6VZwokR6UdaYNg7IKE,"55 West 26th Street, New York",TRUE,
,,,,southwest,,,,
Union Square Cafe,OPERATIONAL,40.7377702,-73.9878767,northeast,ChIJxTHke6JZwokRCLWVd99eDBw,"101 East 19th Street, New York",FALSE,
,,,,southwest,,,,
Maialino,OPERATIONAL,40.7385306,-73.9859278,northeast,ChIJ2YfN_aBZwokR4i0_kCIix3o,"2 Lexington Avenue, New York",TRUE,
,,,,southwest,,,,
Mira Sushi & Izakaya Flatiron,CLOSED_TEMPORARILY,40.7417504,-73.992429,northeast,ChIJdX4Lg6RZwokRjnxlTTP_O-8,"46 West 22nd Street, New York",,TRUE
,,,,southwest,,,,
